screen_date,ticker,name,rank,total_score,entry_date,entry_close,d1_date,d1_close,d1_return,d5_date,d5_close,d5_return
2026-09-16,138040,메리츠금융지주,1,81.3756,2026-09-16,125800.0,,,,,,
2026-09-16,417840,저스템,2,81.1918,2026-09-16,14570.0,,,,,,
2026-09-16,030530,원익홀딩스,3,68.2149,2026-09-16,25100.0,,,,,,
2026-09-16,011780,금호석유화학,4,66.3456,2026-09-16,121400.0,,,,,,
2026-09-16,403870,HPSP,5,65.0954,2026-09-16,53600.0,,,,,,
2026-09-16,090430,아모레퍼시픽,5,64.6182,2026-09-16,144900.0,,,,,,
2026-09-16,137400,피엔티,6,64.4688,2026-09-16,29150.0,,,,,,
2026-09-16,036810,에프에스티,7,64.4683,2026-09-16,26300.0,,,,,,
2026-09-16,218410,RFHIC,8,64.3591,2026-09-16,52100.0,,,,,,
2026-09-16,047050,포스코인터내셔널,9,62.963,2026-09-16,55100.0,,,,,,
2026-09-16,058610,에스피지,10,62.1221,2026-09-16,97500.0,,,,,,
2026-09-17,138040,메리츠금융지주,1,79.9342,,,,,,,,
2026-09-17,417840,저스템,2,79.8155,,,,,,,,
2026-09-17,030530,원익홀딩스,3,66.8368,,,,,,,,
2026-09-17,403870,HPSP,4,63.8942,,,,,,,,
2026-09-17,090430,아모레퍼시픽,5,63.2846,,,,,,,,
2026-09-17,036810,에프에스티,6,63.1161,,,,,,,,
2026-09-17,137400,피엔티,7,63.1127,,,,,,,,
2026-09-17,047050,포스코인터내셔널,8,62.963,,,,,,,,
2026-09-17,218410,RFHIC,9,62.9221,,,,,,,,
2026-09-17,402340,SK스퀘어,10,61.4691,,,,,,,,
